Years,Price ($/mile)
2008,0.646440678
2009,0.5191525424
2010,0.5072881356
2011,0.6508474576
2012,0.6725423729
2013,0.6647457627
2014,0.6483050847
2015,0.4588135593
2016,0.4905084746
2017,0.4491525424
2018,0.5386440678
2019,0.5179661017
